x d u P
2.148437500000000000e-01 5.999240000000000350e+00 1.959750000000000014e+01 4.608940000000004602e+02
2.226562500000000000e-01 5.999240000000009232e+00 1.959750000000000014e+01 4.608940000000011992e+02
2.304687500000000000e-01 5.999240000000003903e+00 1.959749999999999304e+01 4.608940000000007444e+02
2.382812500000000000e-01 5.999239999999996797e+00 1.959749999999999304e+01 4.608940000000000055e+02
2.460937500000000000e-01 5.999240000000003903e+00 1.959750000000000014e+01 4.608940000000009150e+02
2.539062500000000000e-01 5.999240000000004791e+00 1.959749999999999659e+01 4.608940000000004602e+02
2.617187500000000000e-01 5.999239999999998574e+00 1.959749999999999659e+01 4.608940000000007444e+02
2.695312500000000000e-01 5.999239999999995909e+00 1.959750000000000369e+01 4.608939999999998349e+02
2.773437500000000000e-01 5.999239999999994133e+00 1.959750000000000014e+01 4.608939999999993802e+02
2.851562500000000000e-01 5.999239999999996797e+00 1.959750000000001435e+01 4.608939999999998349e+02
2.929687500000000000e-01 5.999239999999999462e+00 1.959750000000001080e+01 4.608940000000001191e+02
3.007812500000000000e-01 5.999240000000003015e+00 1.959750000000000725e+01 4.608940000000004602e+02
3.085937500000000000e-01 5.999240000000000350e+00 1.959750000000000014e+01 4.608940000000002897e+02
3.164062500000000000e-01 5.999240000000002127e+00 1.959749999999998948e+01 4.608940000000004602e+02
3.242187500000000000e-01 5.999240000000002127e+00 1.959749999999998948e+01 4.608940000000010286e+02
3.320312500000000000e-01 5.999239999999999462e+00 1.959749999999999659e+01 4.608940000000002897e+02
3.398437500000000000e-01 5.999239999999996797e+00 1.959750000000000369e+01 4.608939999999998349e+02
3.476562500000000000e-01 5.999240000000004791e+00 1.959749999999999304e+01 4.608940000000004602e+02
3.554687500000000000e-01 5.999240000000003903e+00 1.959749999999999304e+01 4.608940000000004602e+02
3.632812500000000000e-01 5.999240000000004791e+00 1.959749999999999659e+01 4.608940000000005739e+02
3.710937500000000000e-01 5.999240000000003015e+00 1.959750000000000014e+01 4.608939999999996644e+02
3.789062500000000000e-01 5.999240000000003903e+00 1.959750000000000014e+01 4.608940000000002897e+02
3.867187500000000000e-01 5.999240000000001238e+00 1.959750000000000725e+01 4.608940000000001191e+02
3.945312500000000000e-01 5.999239999999995021e+00 1.959749999999999659e+01 4.608939999999995507e+02
4.023437500000000000e-01 5.999239999999996797e+00 1.959750000000000369e+01 4.608940000000001191e+02
4.101562500000000000e-01 5.999239999999996797e+00 1.959750000000001080e+01 4.608939999999998349e+02
4.179687500000000000e-01 5.999239999999997686e+00 1.959750000000000014e+01 4.608939999999998349e+02
4.257812500000000000e-01 5.999239999999996797e+00 1.959750000000000369e+01 4.608939999999998349e+02
4.335937500000000000e-01 5.999240000000003903e+00 1.959750000000000014e+01 4.608940000000001191e+02
4.414062500000000000e-01 5.999240000000003015e+00 1.959749999999998593e+01 4.608940000000009150e+02
4.492187500000000000e-01 5.999239999999990580e+00 1.959749999999999659e+01 4.608939999999990960e+02
4.570312500000000000e-01 1.004069243855622418e+01 1.220958275197361331e+01 1.245008763958169993e+03
4.648437500000000000e-01 1.264924198721581661e+01 8.619370931618544063e+00 1.849623089303065399e+03
4.726562500000000000e-01 1.261372455798313830e+01 8.576194561137519656e+00 1.844253121983557776e+03
