x d u P
3.906250000000000000e-03 9.886102662819606923e-01 4.665156026313927451e-01 9.810991034211569968e+02
1.171875000000000000e-02 9.821638682216362604e-01 7.326425394269611147e-01 9.704554673102509241e+02
1.953125000000000000e-02 9.749135000058809508e-01 1.032887621672946565e+00 9.585484252987903346e+02
2.734375000000000000e-02 9.664832752035155128e-01 1.383948443630835801e+00 9.447771616245527184e+02
3.515625000000000000e-02 9.571772018115044522e-01 1.773867082606765067e+00 9.296674691775433530e+02
4.296875000000000000e-02 9.472330730096456541e-01 2.193319131241338926e+00 9.136292768756511578e+02
5.078125000000000000e-02 9.368540599048379436e-01 2.634249806674042738e+00 8.970085315922674454e+02
5.859375000000000000e-02 9.261930940786343713e-01 3.090554928868276097e+00 8.800631831597077053e+02
6.640625000000000000e-02 9.153547328759372714e-01 3.558051229144795435e+00 8.629683147664813987e+02
7.421875000000000000e-02 9.044038263667854016e-01 4.034162223578054984e+00 8.458322045035267820e+02
8.203125000000000000e-02 8.934024407209990581e-01 4.516249513133696603e+00 8.287519159185704893e+02
8.984375000000000000e-02 8.823862492992370354e-01 5.003192037021861438e+00 8.117892801736386446e+02
9.765625000000000000e-02 8.713589316023058196e-01 5.494537372327417124e+00 7.949522513560617654e+02
1.054687500000000000e-01 8.603299095259467899e-01 5.990244576403307875e+00 7.782533370393481391e+02
1.132812500000000000e-01 8.493066783972270661e-01 6.489828432909149569e+00 7.617055217396680291e+02
1.210937500000000000e-01 8.383168609689439776e-01 6.992184996152020382e+00 7.453504004781754020e+02
1.289062500000000000e-01 8.274134022528938370e-01 7.494945434721903332e+00 7.292636149466098914e+02
1.367187500000000000e-01 8.166358148477953494e-01 7.996394805232477587e+00 7.135012623704712951e+02
1.445312500000000000e-01 8.059891707487918389e-01 8.496074877709052231e+00 6.980657984641223948e+02
1.523437500000000000e-01 7.954789922060799823e-01 8.993682896170948737e+00 6.829605864209140691e+02
1.601562500000000000e-01 7.851119748873109927e-01 9.488839621987319006e+00 6.681914284515875124e+02
1.679687500000000000e-01 7.748973712524558355e-01 9.980958408358938883e+00 6.537654345945715022e+02
1.757812500000000000e-01 7.648481274574854272e-01 1.046937904709965217e+01 6.396966512576165087e+02
