x d u P
2.539062500000000000e-01 1.400000000000000133e+00 1.000000000000010048e-01 9.999999999999991118e-01
2.617187500000000000e-01 1.400000000000000133e+00 1.000000000000009770e-01 9.999999999999992228e-01
2.695312500000000000e-01 1.400000000000000355e+00 1.000000000000007827e-01 9.999999999999993339e-01
2.773437500000000000e-01 1.400000000000000133e+00 1.000000000000006301e-01 9.999999999999992228e-01
2.851562500000000000e-01 1.399999999999999467e+00 1.000000000000005468e-01 9.999999999999988898e-01
2.929687500000000000e-01 1.399999999999999023e+00 1.000000000000008382e-01 9.999999999999992228e-01
3.007812500000000000e-01 1.399999999999999467e+00 1.000000000000011574e-01 9.999999999999992228e-01
3.085937500000000000e-01 1.399999999999999689e+00 1.000000000000011574e-01 9.999999999999988898e-01
3.164062500000000000e-01 1.399999999999999467e+00 1.000000000000008799e-01 9.999999999999988898e-01
3.242187500000000000e-01 1.399999999999998801e+00 1.000000000000007133e-01 9.999999999999987788e-01
3.320312500000000000e-01 1.399999999999998801e+00 1.000000000000008105e-01 9.999999999999988898e-01
3.398437500000000000e-01 1.399999999999999689e+00 1.000000000000009492e-01 9.999999999999993339e-01
3.476562500000000000e-01 1.400000000000000133e+00 1.000000000000010325e-01 9.999999999999992228e-01
3.554687500000000000e-01 1.399999999999999467e+00 1.000000000000007411e-01 9.999999999999987788e-01
3.632812500000000000e-01 1.399999999999999689e+00 1.000000000000005607e-01 9.999999999999987788e-01
3.710937500000000000e-01 1.399999999999999689e+00 1.000000000000008660e-01 9.999999999999988898e-01
3.789062500000000000e-01 1.399999999999999467e+00 1.000000000000008937e-01 9.999999999999988898e-01
3.867187500000000000e-01 1.399999999999999689e+00 1.000000000000010464e-01 9.999999999999991118e-01
3.945312500000000000e-01 1.399999999999999689e+00 1.000000000000010048e-01 9.999999999999991118e-01
4.023437500000000000e-01 1.400000000000000799e+00 1.000000000000011158e-01 9.999999999999993339e-01
4.101562500000000000e-01 1.400000000000000577e+00 1.000000000000010741e-01 9.999999999999996669e-01
4.179687500000000000e-01 1.400000000000000133e+00 1.000000000000009770e-01 9.999999999999993339e-01
4.257812500000000000e-01 1.399999999999999689e+00 1.000000000000007827e-01 9.999999999999991118e-01
4.335937500000000000e-01 1.399999999999999023e+00 1.000000000000007966e-01 9.999999999999991118e-01
4.414062500000000000e-01 1.399999999999999467e+00 1.000000000000007272e-01 9.999999999999992228e-01
4.492187500000000000e-01 1.399999999999999689e+00 1.000000000000007688e-01 9.999999999999991118e-01
4.570312500000000000e-01 1.399999999999999023e+00 1.000000000000006717e-01 9.999999999999988898e-01
4.648437500000000000e-01 1.399999999999999023e+00 1.000000000000009354e-01 9.999999999999995559e-01
4.726562500000000000e-01 1.399999999999999023e+00 1.000000000000009909e-01 9.999999999999996669e-01
4.804687500000000000e-01 1.399999999999999245e+00 1.000000000000007550e-01 9.999999999999996669e-01
4.882812500000000000e-01 1.399999999999999689e+00 1.000000000000008105e-01 9.999999999999996669e-01
4.960937500000000000e-01 1.399999999999999023e+00 1.000000000000008105e-01 9.999999999999993339e-01
5.039062500000000000e-01 1.399999999999999245e+00 1.000000000000007550e-01 9.999999999999996669e-01
5.117187500000000000e-01 1.399999999999999023e+00 1.000000000000008105e-01 9.999999999999996669e-01
5.195312500000000000e-01 1.399999999999994138e+00 1.000000000000006994e-01 9.999999999999995559e-01
5.273437500000000000e-01 1.399999999999909761e+00 1.000000000000010464e-01 9.999999999999997780e-01
5.351562500000000000e-01 1.399999999998785771e+00 1.000000000000008799e-01 9.999999999999997780e-01
5.429687500000000000e-01 1.399999999986943244e+00 1.000000000000008937e-01 1.000000000000000000e+00
5.507812500000000000e-01 1.399999999884335544e+00 1.000000000000006023e-01 1.000000000000000222e+00
5.585937500000000000e-01 1.399999999132389927e+00 1.000000000000005607e-01 1.000000000000000222e+00
5.664062500000000000e-01 1.399999994376814438e+00 1.000000000000004635e-01 1.000000000000000000e+00
5.742187500000000000e-01 1.399999968022037189e+00 1.000000000000006023e-01 1.000000000000000000e+00
5.820312500000000000e-01 1.399999838506629235e+00 1.000000000000011435e-01 9.999999999999995559e-01
5.898437500000000000e-01 1.399999268730818036e+00 1.000000000000008105e-01 9.999999999999991118e-01
5.976562500000000000e-01 1.399997007541442962e+00 1.000000000000006578e-01 9.999999999999996669e-01
6.054687500000000000e-01 1.399988861539885221e+00 1.000000000000006856e-01 9.999999999999995559e-01
6.132812500000000000e-01 1.399962084086770142e+00 1.000000000000008105e-01 9.999999999999991118e-01
6.210937500000000000e-01 1.399881423860877661e+00 1.000000000000008243e-01 9.999999999999992228e-01
6.289062500000000000e-01 1.399657999587642143e+00 1.000000000000007688e-01 9.999999999999993339e-01
6.367187500000000000e-01 1.399087300149570501e+00 1.000000000000008660e-01 9.999999999999993339e-01
6.445312500000000000e-01 1.397740031211948564e+00 1.000000000000006994e-01 9.999999999999995559e-01
6.523437500000000000e-01 1.394795689820649498e+00 1.000000000000007827e-01 9.999999999999992228e-01
6.601562500000000000e-01 1.388832437802020703e+00 1.000000000000009492e-01 9.999999999999993339e-01
6.679687500000000000e-01 1.377633921814513940e+00 1.000000000000010048e-01 9.999999999999992228e-01
6.757812500000000000e-01 1.358137141878567267e+00 1.000000000000010048e-01 9.999999999999993339e-01
6.835937500000000000e-01 1.326695510903478592e+00 1.000000000000006717e-01 9.999999999999996669e-01
6.914062500000000000e-01 1.279816359423855410e+00 1.000000000000010464e-01 9.999999999999995559e-01
6.992187500000000000e-01 1.215393733349650507e+00 1.000000000000008937e-01 9.999999999999992228e-01
7.070312500000000000e-01 1.138208090149658069e+00 1.000000000000003941e-01 9.999999999999991118e-01
7.148437500000000000e-01 1.079334726571468561e+00 1.000000000000002276e-01 9.999999999999992228e-01
7.226562500000000000e-01 1.043045284488919089e+00 1.000000000000004219e-01 9.999999999999992228e-01
7.304687500000000000e-01 1.022126753369151375e+00 1.000000000000007272e-01 9.999999999999988898e-01
7.382812500000000000e-01 1.010809541126398869e+00 1.000000000000007827e-01 9.999999999999996669e-01
7.460937500000000000e-01 1.005032759901105965e+00 1.000000000000006023e-01 9.999999999999993339e-01
7.539062500000000000e-01 1.002238595054590009e+00 1.000000000000007411e-01 9.999999999999991118e-01
7.617187500000000000e-01 1.000953358098629842e+00 1.000000000000006856e-01 9.999999999999992228e-01
7.695312500000000000e-01 1.000389482649716832e+00 1.000000000000004080e-01 9.999999999999986677e-01
7.773437500000000000e-01 1.000152906847779688e+00 1.000000000000008937e-01 9.999999999999993339e-01
7.851562500000000000e-01 1.000057777016282845e+00 1.000000000000006717e-01 9.999999999999992228e-01
7.929687500000000000e-01 1.000021042279648720e+00 1.000000000000001998e-01 9.999999999999991118e-01
8.007812500000000000e-01 1.000007396155877748e+00 1.000000000000006023e-01 9.999999999999992228e-01
8.085937500000000000e-01 1.000002511966782581e+00 1.000000000000007411e-01 9.999999999999996669e-01
8.164062500000000000e-01 1.000000825266043059e+00 1.000000000000012962e-01 9.999999999999997780e-01
8.242187500000000000e-01 1.000000262535215567e+00 1.000000000000008105e-01 9.999999999999993339e-01
8.320312500000000000e-01 1.000000080947538228e+00 1.000000000000003386e-01 9.999999999999992228e-01
8.398437500000000000e-01 1.000000024211540328e+00 1.000000000000004913e-01 9.999999999999984457e-01
8.476562500000000000e-01 1.000000007030696914e+00 1.000000000000008660e-01 9.999999999999988898e-01
8.554687500000000000e-01 1.000000001983641029e+00 1.000000000000008382e-01 9.999999999999996669e-01
8.632812500000000000e-01 1.000000000544160050e+00 1.000000000000010048e-01 1.000000000000000222e+00
8.710937500000000000e-01 1.000000000145236045e+00 1.000000000000000749e-01 9.999999999999984457e-01
8.789062500000000000e-01 1.000000000037739145e+00 1.000000000000010186e-01 9.999999999999991118e-01
8.867187500000000000e-01 1.000000000009552359e+00 1.000000000000013795e-01 9.999999999999995559e-01
8.945312500000000000e-01 1.000000000002355671e+00 1.000000000000007688e-01 9.999999999999991118e-01
9.023437500000000000e-01 1.000000000000565992e+00 1.000000000000005884e-01 9.999999999999991118e-01
9.101562500000000000e-01 1.000000000000132783e+00 1.000000000000013239e-01 1.000000000000000000e+00
9.179687500000000000e-01 1.000000000000029976e+00 1.000000000000010186e-01 9.999999999999988898e-01
9.257812500000000000e-01 1.000000000000006661e+00 1.000000000000010325e-01 9.999999999999987788e-01
9.335937500000000000e-01 1.000000000000001110e+00 1.000000000000004774e-01 9.999999999999993339e-01
9.414062500000000000e-01 9.999999999999996669e-01 1.000000000000009770e-01 9.999999999999995559e-01
9.492187500000000000e-01 9.999999999999987788e-01 1.000000000000005607e-01 9.999999999999984457e-01
9.570312500000000000e-01 9.999999999999990008e-01 1.000000000000009631e-01 9.999999999999988898e-01
9.648437500000000000e-01 9.999999999999995559e-01 1.000000000000013378e-01 1.000000000000000000e+00
9.726562500000000000e-01 9.999999999999990008e-01 1.000000000000006717e-01 9.999999999999988898e-01
9.804687500000000000e-01 9.999999999999991118e-01 1.000000000000009631e-01 9.999999999999991118e-01
9.882812500000000000e-01 9.999999999999993339e-01 1.000000000000009770e-01 9.999999999999991118e-01
9.960937500000000000e-01 9.999999999999994449e-01 1.000000000000010741e-01 9.999999999999993339e-01
