x d u P
3.906250000000000000e-03 1.399999999999998579e+00 1.000000000000008660e-01 9.999999999999992228e-01
1.171875000000000000e-02 1.399999999999999023e+00 1.000000000000007272e-01 9.999999999999993339e-01
1.953125000000000000e-02 1.399999999999999467e+00 1.000000000000006578e-01 9.999999999999993339e-01
2.734375000000000000e-02 1.399999999999999023e+00 1.000000000000007133e-01 9.999999999999992228e-01
3.515625000000000000e-02 1.399999999999999023e+00 1.000000000000007966e-01 9.999999999999993339e-01
4.296875000000000000e-02 1.399999999999998579e+00 1.000000000000008660e-01 9.999999999999991118e-01
5.078125000000000000e-02 1.399999999999999023e+00 1.000000000000008937e-01 9.999999999999987788e-01
5.859375000000000000e-02 1.399999999999998801e+00 1.000000000000007272e-01 9.999999999999988898e-01
6.640625000000000000e-02 1.399999999999998801e+00 1.000000000000009909e-01 9.999999999999991118e-01
7.421875000000000000e-02 1.399999999999999467e+00 1.000000000000011019e-01 9.999999999999991118e-01
8.203125000000000000e-02 1.399999999999999245e+00 1.000000000000007550e-01 9.999999999999991118e-01
8.984375000000000000e-02 1.399999999999999245e+00 1.000000000000006162e-01 9.999999999999987788e-01
9.765625000000000000e-02 1.399999999999998579e+00 1.000000000000005468e-01 9.999999999999983347e-01
1.054687500000000000e-01 1.399999999999999023e+00 1.000000000000007550e-01 9.999999999999988898e-01
1.132812500000000000e-01 1.399999999999999023e+00 1.000000000000007133e-01 9.999999999999991118e-01
1.210937500000000000e-01 1.399999999999999245e+00 1.000000000000007827e-01 9.999999999999987788e-01
1.289062500000000000e-01 1.399999999999999023e+00 1.000000000000007688e-01 9.999999999999988898e-01
1.367187500000000000e-01 1.399999999999999023e+00 1.000000000000005745e-01 9.999999999999988898e-01
1.445312500000000000e-01 1.399999999999999689e+00 1.000000000000004496e-01 9.999999999999992228e-01
1.523437500000000000e-01 1.399999999999999467e+00 1.000000000000002692e-01 9.999999999999995559e-01
1.601562500000000000e-01 1.400000000000000355e+00 1.000000000000005329e-01 9.999999999999995559e-01
1.679687500000000000e-01 1.399999999999999689e+00 1.000000000000003109e-01 9.999999999999991118e-01
1.757812500000000000e-01 1.399999999999999467e+00 1.000000000000004635e-01 9.999999999999992228e-01
1.835937500000000000e-01 1.399999999999999467e+00 1.000000000000002692e-01 9.999999999999991118e-01
1.914062500000000000e-01 1.399999999999998801e+00 1.000000000000002137e-01 9.999999999999987788e-01
1.992187500000000000e-01 1.399999999999999023e+00 1.000000000000003386e-01 9.999999999999992228e-01
2.070312500000000000e-01 1.399999999999999245e+00 1.000000000000005607e-01 9.999999999999995559e-01
2.148437500000000000e-01 1.399999999999999689e+00 1.000000000000005884e-01 9.999999999999995559e-01
2.226562500000000000e-01 1.399999999999999911e+00 1.000000000000006717e-01 9.999999999999993339e-01
2.304687500000000000e-01 1.399999999999999911e+00 1.000000000000004774e-01 9.999999999999992228e-01
2.382812500000000000e-01 1.399999999999999911e+00 1.000000000000007827e-01 9.999999999999993339e-01
2.460937500000000000e-01 1.400000000000000355e+00 1.000000000000009354e-01 9.999999999999993339e-01
